uid	url	rating	tags
186	http://wiki.zenk-security.com/doku.php?id=29c3:web:regexdb	0	
187	http://wiki.zenk-security.com/doku.php?id=29c3:misc:jsux	0	
188	http://wiki.zenk-security.com/doku.php?id=29c3:exploitation:minesweeper	0	
189	http://hackucf.org/blog/29c3ctf-highandlow-100/	0	
190	http://www.blue-lotus.net/29c3ctf-regexdb/	0	
191	http://blog.botbie.com/2012/12/31/29c3-ctf-misc-300-funchive/	0	
192	https://baghaliteam.wordpress.com/2012/12/30/29c3ctf-bin300-maya/	0	
193	http://blog.botbie.com/2012/12/31/29c3-ctf-reversing-300-find-the-key/	0	
194	http://blog.botbie.com/2012/12/31/29c3-ctf-jsux-writeup/	0	
195	http://binary-maladies.blogspot.ca/2012/12/in-this-minesweeper-challenge-you-are.html	0	
196	http://piggybird.net/?p=374	0	
197	http://www.blue-lotus.net/29c3-ctf-exploitation-300-update_server/	0	
198	http://www.blue-lotus.net/29c3-ctf-minesweeper/	0	
199	http://www.blue-lotus.net/29c3-ctf-exploitation-400-proxy/	0	
200	http://eindbazen.net/2012/12/29c3-ctf-memcached/	0	
201	http://eindbazen.net/2012/12/29c3-ctf-update_server/	0	
202	http://hackucf.org/blog/phdays-misc-400/	0	
203	http://www.jwgoerlich.us/blogengine/post/2013/01/08/Write-up-of-the-29c3-CTF-Whats-This-Challenge.aspx	0	
204	https://rdot.org/forum/showthread.php?t=2609	0	
205	https://rdot.org/forum/showthread.php?t=2609	0	
206	http://delogrand.blogspot.com/2013/02/hackim-ctf-2013-crypto-300.html	0	
207	http://bitsmash.wordpress.com/2013/02/17/gits-2013-trivia-351-surta-writeup/	0	
208	http://www.captchaflag.com/blog/2013/02/17/gits-2013-funny-business/	0	
209	http://www.captchaflag.com/blog/2013/02/17/gits-2013-shiftd/	0	
210	http://blog.delroth.net/2013/02/gits-2013-writeup-re300/	0	
211	http://blog.delroth.net/2013/02/gits-2013-writeup-re250/	0	
212	http://blog.delroth.net/2013/02/gits-2013-writeup-rtfm/	0	
213	https://rdot.org/forum/showthread.php?t=2626	0	
214	http://0xbadf00d.co.uk/gits-2013-kiss/	0	
215	http://codezen.fr/2013/02/18/gits-2013-ctf-trivia-400-question-17-folly-level-3-arm-write-up/	0	
216	http://codezen.fr/2013/02/17/gits-2013-ctf-question-17-trivia-400-folly-level-2-x86-chroot-getdents-shellcode/	0	
217	http://codezen.fr/2013/02/17/gits-2013-ctf-pwnable-100-question-5-funnybusiness/	0	
218	http://codezen.fr/2013/02/17/gits-2013-ctf-pwnable-100-question-8-shiftd/	0	
219	http://www.sinfocol.org/2013/02/spy-orange/	0	
220	http://www.hackerspace-bamberg.de/CTF:GitS-2013/Writeups/RTFM	0	
221	http://rpisec.org/writeups/gits2013-imgception.txt	0	
222	http://codezen.fr/2013/02/19/gits-2013-ctf-pwnables-250-question-10-back2skool-write-up/	0	
223	http://hexstr-morgan.blogspot.com/2013/02/ghost-in-shellcode-2013-imgception.html	0	
224	http://techblog.rosedu.org/ctf-return-to-libc.html	0	
225	http://delogrand.blogspot.com/2013/02/ghost-in-shellcode-back2skool-writeup.html	0	
226	https://gist.github.com/rmmh/4982924	0	
227	http://blog.w4kfu.com/post/crunchtime	0	
228	http://h34dump.com/?p=436	0	
229	http://binary-maladies.blogspot.ca/2013/03/detailed-gits-2013-pwnables-250.html	0	
230	http://h34dump.com/2013/03/yut-codegate-2013-web100/	0	
231	http://h34dump.com/2013/03/yut-codegate-2013-web200/	0	
232	http://h34dump.com/2013/03/yut-codegate-2013-misc-300_1/	0	
233	http://bases-hacking.org/vuln400-codegate2013.html	0	bin
234	http://piggybird.net/?p=426	0	
235	http://blog.pnuts.tk/2013/03/codegate2k13-web300.html	0	
236	http://blog.pnuts.tk/2013/03/codegate2k13-misc200.html	0	
237		5.0	
238	http://pastie.org/pastes/6371080/text?key=ewguofqedxkdtibji87mjq	0	
239	http://pastie.org/pastes/6370793/text?key=p9d1ijitax9adfrm7ife9g	0	
